event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
2, 2738, Andre Iguodala, 115.0, 48.86918493337596, 5.28373, -23.86914, 1.5721523964817816, 0.012191721602177451,71.07438016528926, 203999, Nikola Jokic, 106.69356796116504, 2.179366321410882, 2.7494088497587477, 0.007395284092751288,2, 24, 2, 1, 1
3, 201568, Danilo Gallinari, 120.0, 74.01490920479333, 54.45817, -40.64393, 1.0905939387072423, 0.01023113112331667,40.74074074074074, 2738, Andre Iguodala, 105.0, 9.800651653813633, 0.7022177425675955, 0.003591832827749704,1, 23, 0, 1, 0
5, 203110, Draymond Green, 115.0, 53.78298428597097, 29.96391, -22.82013, 1.0954432966267422, 0.0012233432507279844,39.53488372093023, 2749, Jameer Nelson, 112.0, 2.363992950412498, 1.5745170272985691, 0.002303629407555087,1, 13, 5, 1, 1
6, 201568, Danilo Gallinari, 120.0, 51.000426783983876, 87.04514, -25.97517, 1.5393235514281887, 0.002406838239786591,50.43103448275862, 203110, Draymond Green, 100.0, 0.7481223669962028, 2.8488854896045, 0.0024524725406208274,3, 7, -3, 1, 1
7, 203110, Draymond Green, 115.0, 50.35382009259278, 33.68014, -16.628239999999998, 0.9732429932443033, 0.008430666621256246,38.46153846153847, 202702, Kenneth Faried, 107.0, 1.9386639379995723, 2.977428454159696, 0.006723601075448694,1, 5, 6, 1, 1
8, 203914, Gary Harris, 110.0, 64.68542911669212, 61.18241, -33.56395, 1.1322394621606966, 0.00804528478781658,43.75, 202691, Klay Thompson, 106.69356796116504, 13.471969605907667, 0.416081644119581, 0.006086724463423276,0, 14, 0, 1, 0
10, 202691, Klay Thompson, 104.37388483373884, 48.806098067819356, 39.9155, -9.45666, 0.7838212798315396, 0.007396217466550127,39.8876404494382, 203914, Gary Harris, 111.0, 10.734213405937114, 1.127743916921709, 0.008221885477948396,0, 24, 0, 1, 0
13, 202702, Kenneth Faried, 116.0, 45.58112572856665, 80.63353, -19.87065, 1.3940042364145286, 0.006184613508538959,44.9438202247191, 101106, Andrew Bogut, 99.0, 5.30980355804243, 2.1379320155382127, 0.003422061677556397,3, 5, 0, 1, 0
15, 203110, Draymond Green, 115.0, 74.02397347896219, 18.53371, -47.8405, 1.3917405306680002, 0.008918294935832665,38.18181818181819, 203999, Nikola Jokic, 106.69356796116504, 4.058153971561448, 0.30178385096631194, 0.0036894991868816327,1, 24, 9, 1, 1
19, 201939, Stephen Curry, 125.0, 53.06521484134499, -0.1723, -27.77709, 1.6750513735060872, 0.0012833931587787467,65.91478696741855, 2749, Jameer Nelson, 112.0, 4.718030552953213, 1.3943744164309408, 0.0011649892703368063,2, 23, 11, 1, 1
20, 201568, Danilo Gallinari, 120.0, 51.23128019285581, 51.4757, -10.25217, 0.7588653374175404, 0.009256039454812907,37.17948717948718, 203110, Draymond Green, 100.0, 3.723527272264832, 2.5564631291162194, 0.010410810499323417,1, 23, -11, 1, 0
23, 203110, Draymond Green, 115.0, 67.72476370109017, 47.15721, -28.52562, 0.9113644775146925, 0.009377060786835048,39.53488372093023, 202702, Kenneth Faried, 107.0, 9.978877963348381, 1.8147849700459817, 0.0073731112327159246,1, 23, 14, 1, 1
26, 2749, Jameer Nelson, 99.0, 66.90258211879792, 67.14528, -38.35221, 1.243553567338899, 0.006467576796992655,35.714285714285715, 201939, Stephen Curry, 112.0, 9.784492436570229, 1.2272959953817741, 0.006679415066081801,1, 23, -14, 1, 0
