,quarter,universe_time,quarter_time,shot_clock,positions,game_time
0,1,1451082035065,720.0,24.0,"[[-1, -1, 46.25174, 27.56612, 3.4819], [1610612744, 101106, 50.28268, 26.11096, 0.0], [1610612744, 201575, 50.28268, 26.11096, 0.0], [1610612744, 201939, 77.69071, 24.66218, 0.0], [1610612744, 202691, 49.74069, 32.55629, 0.0], [1610612744, 203110, 58.22998, 24.8341, 0.0], [1610612739, 2544, 43.90252, 15.81125, 0.0], [1610612739, 2747, 45.66055, 32.43427, 0.0], [1610612739, 201567, 36.68877, 24.80455, 0.0], [1610612739, 202681, 45.66055, 32.43427, 0.0], [1610612739, 202389, 44.76942, 25.42155, 0.0]]",0.0
555,1,1451082058825,704.0,9.0,"[[-1, -1, 86.93701, 21.92856, 0.33595], [1610612744, 101106, 62.93171, 23.50852, 0.0], [1610612744, 201575, 67.58298, 19.28379, 0.0], [1610612744, 201939, 76.79203, 20.96192, 0.0], [1610612744, 202691, 78.95507, 25.7544, 0.0], [1610612744, 203110, 92.59705, 28.36765, 0.0], [1610612739, 2544, 70.19213, 7.52142, 0.0], [1610612739, 2747, 48.06565, 20.64382, 0.0], [1610612739, 201567, 51.16696, 32.23171, 0.0], [1610612739, 202681, 79.07831, 38.5553, 0.0], [1610612739, 202389, 84.86267, 23.30579, 0.0]]",16.0
556,1,1451082058864,704.0,24.0,"[[-1, -1, 86.89658, 21.98541, 0.32668], [1610612744, 101106, 62.57008, 23.48146, 0.0], [1610612744, 201575, 67.18559, 19.21096, 0.0], [1610612744, 201939, 76.87896, 20.91203, 0.0], [1610612744, 202691, 78.7436, 25.74701, 0.0], [1610612744, 203110, 92.74886, 28.20334, 0.0], [1610612739, 2544, 69.94966, 7.56646, 0.0], [1610612739, 2747, 47.89172, 20.63386, 0.0], [1610612739, 201567, 51.00307, 32.16613, 0.0], [1610612739, 202681, 78.89765, 38.36817, 0.0], [1610612739, 202389, 84.52578, 23.23769, 0.0]]",16.0
1150,1,1451082082625,685.02,4.56,"[[-1, -1, 4.08757, 47.16531, 4.69653], [1610612744, 101106, 10.22121, 37.06781, 0.0], [1610612744, 201575, 23.08311, 42.0403, 0.0], [1610612744, 201939, 19.41848, 9.12336, 0.0], [1610612744, 202691, 31.80659, 14.19101, 0.0], [1610612744, 203110, 41.47021, 32.03658, 0.0], [1610612739, 2544, 5.46329, 45.90346, 0.0], [1610612739, 2747, 22.65867, 15.91627, 0.0], [1610612739, 201567, 25.25539, 27.70366, 0.0], [1610612739, 202681, 10.65395, 14.22959, 0.0], [1610612739, 202389, 11.45489, 33.25589, 0.0]]",34.98000000000002
1151,1,1451082082664,684.98,24.0,"[[-1, -1, 4.02145, 47.48246, 4.86326], [1610612744, 101106, 10.52311, 37.06637, 0.0], [1610612744, 201575, 23.44556, 41.90215, 0.0], [1610612744, 201939, 19.84342, 9.14198, 0.0], [1610612744, 202691, 32.17852, 14.2781, 0.0], [1610612744, 203110, 41.78951, 31.96679, 0.0], [1610612739, 2544, 5.344, 46.0032, 0.0], [1610612739, 2747, 22.93991, 15.79803, 0.0], [1610612739, 201567, 25.29975, 27.62181, 0.0], [1610612739, 202681, 10.82855, 14.14031, 0.0], [1610612739, 202389, 11.83012, 33.20899, 0.0]]",35.01999999999998
3147,1,1451082162503,605.47,2.97,"[[-1, -1, 89.34697, 22.87435, 9.73356], [1610612744, 101106, 90.07187, 27.31907, 0.0], [1610612744, 201575, 91.48444, 23.93145, 0.0], [1610612744, 201939, 88.05243, 13.97458, 0.0], [1610612744, 202691, 69.88097, 25.30856, 0.0], [1610612744, 203110, 90.50763, 16.35373, 0.0], [1610612739, 2544, 89.64734, 20.69924, 0.0], [1610612739, 2747, 72.81511, 5.04046, 0.0], [1610612739, 201567, 89.60217, 20.95141, 0.0], [1610612739, 202681, 60.02813, 25.25485, 0.0], [1610612739, 202389, 87.48301, 25.92816, 0.0]]",114.52999999999997
3148,1,1451082162543,605.43,24.0,"[[-1, -1, 89.32275, 22.75584, 9.46402], [1610612744, 101106, 89.98615, 27.28526, 0.0], [1610612744, 201575, 91.59644, 23.71381, 0.0], [1610612744, 201939, 87.88702, 13.93967, 0.0], [1610612744, 202691, 69.77081, 25.45686, 0.0], [1610612744, 203110, 90.83702, 16.64169, 0.0], [1610612739, 2544, 89.72922, 20.69311, 0.0], [1610612739, 2747, 72.62707, 5.16792, 0.0], [1610612739, 201567, 89.68406, 20.94527, 0.0], [1610612739, 202681, 59.90562, 25.47344, 0.0], [1610612739, 202389, 87.52011, 25.93498, 0.0]]",114.57000000000005
3680,1,1451082197783,589.15,10.25,"[[-1, -1, 2.54006, 8.77006, 6.36309], [1610612744, 101106, 5.60237, 33.2134, 0.0], [1610612744, 201575, 29.52325, 15.15659, 0.0], [1610612744, 201939, 31.962, 37.88031, 0.0], [1610612744, 202691, 18.23433, 47.56169, 0.0], [1610612744, 203110, 4.73876, 6.66833, 0.0], [1610612739, 2544, 21.97148, 18.22552, 0.0], [1610612739, 2747, 14.20737, 43.58085, 0.0], [1610612739, 201567, 5.14603, 29.56495, 0.0], [1610612739, 202681, 27.08839, 35.52337, 0.0], [1610612739, 202389, 6.16892, 11.77434, 0.0]]",130.85000000000002
3805,1,1451082208303,589.0,24.0,"[[-1, -1, 22.4071, 10.35848, 4.08204], [1610612744, 101106, 77.11799, 25.40534, 0.0], [1610612744, 201575, 76.38038, 6.46796, 0.0], [1610612744, 201939, 63.66005, 32.13145, 0.0], [1610612744, 202691, 52.03422, 21.565, 0.0], [1610612744, 203110, 69.29546, 26.01952, 0.0], [1610612739, 2544, 78.30831, 2.91499, 0.0], [1610612739, 2747, 73.33992, 47.14, 0.0], [1610612739, 201567, 62.95583, 29.29279, 0.0], [1610612739, 202681, 21.96105, 11.06839, 0.0], [1610612739, 202389, 16.01743, 1.34676, 0.0]]",131.0
4129,1,1451082221263,576.05,10.24,"[[-1, -1, 85.23064, 26.17362, 0.36117], [1610612744, 101106, 85.11171, 32.20835, 0.0], [1610612744, 201575, 86.77252, 20.89586, 0.0], [1610612744, 201939, 71.20156, 43.42086, 0.0], [1610612744, 202691, 68.54382, 23.01007, 0.0], [1610612744, 203110, 83.56669, 21.08171, 0.0], [1610612739, 2544, 66.83626, 7.09251, 0.0], [1610612739, 2747, 60.4116, 47.26447, 0.0], [1610612739, 201567, 82.19426, 18.88222, 0.0], [1610612739, 202681, 52.29261, 23.03559, 0.0], [1610612739, 202389, 81.03714, 42.31748, 0.0]]",143.95000000000005
